simbolo,descripcion,moneda,mercado,pais,paneles,visto_desde
#UMV251260014,Pagare USD 30/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV270860006,Pagare Usd 31/08/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV290170016,Pagare Usd 02/02/2027,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV291260066,Pagare Usd 04/01/2027,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV300860012,Pagare USD 02/09/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV021001190,Cheque Ars 06/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV031001279,Cheque Ars 07/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV040901658,Cheque Ars 08/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV050901544,Pagare Ars 09/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV051001133,Cheque Ars 07/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV070901148,Cheque Ars 09/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV091001338,Cheque Ars 14/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV110901562,Cheque Ars 15/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV120901709,Pagare Ars 16/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV121000986,Cheque Ars 15/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV140901448,Cheque Ars 16/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV161001273,Cheque Ars 20/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV180901527,Cheque Ars 22/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV190901400,Cheque Ars 23/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV191000922,Cheque Ars 21/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
